name,ipv4-address,groups,color,tags
h_82.102.25.253_CVE-2021-44228,82.102.25.253,groupname,red,CVE-2021-44228_Log4J
h_78.110.164.45_CVE-2021-44228,78.110.164.45,groupname,red,CVE-2021-44228_Log4J
h_68.183.207.73_CVE-2021-44228,68.183.207.73,groupname,red,CVE-2021-44228_Log4J
h_68.183.198.36_CVE-2021-44228,68.183.198.36,groupname,red,CVE-2021-44228_Log4J
h_68.183.192.239_CVE-2021-44228,68.183.192.239,groupname,red,CVE-2021-44228_Log4J
h_68.183.41.150_CVE-2021-44228,68.183.41.150,groupname,red,CVE-2021-44228_Log4J
h_68.183.37.10_CVE-2021-44228,68.183.37.10,groupname,red,CVE-2021-44228_Log4J
h_68.183.36.244_CVE-2021-44228,68.183.36.244,groupname,red,CVE-2021-44228_Log4J
h_68.183.35.171_CVE-2021-44228,68.183.35.171,groupname,red,CVE-2021-44228_Log4J
h_68.183.33.144_CVE-2021-44228,68.183.33.144,groupname,red,CVE-2021-44228_Log4J
h_67.207.93.79_CVE-2021-44228,67.207.93.79,groupname,red,CVE-2021-44228_Log4J
h_67.205.170.85_CVE-2021-44228,67.205.170.85,groupname,red,CVE-2021-44228_Log4J
h_64.227.67.110_CVE-2021-44228,64.227.67.110,groupname,red,CVE-2021-44228_Log4J
h_61.178.32.114_CVE-2021-44228,61.178.32.114,groupname,red,CVE-2021-44228_Log4J
h_61.175.202.154_CVE-2021-44228,61.175.202.154,groupname,red,CVE-2021-44228_Log4J
h_58.100.164.147_CVE-2021-44228,58.100.164.147,groupname,red,CVE-2021-44228_Log4J
h_52.231.93.116_CVE-2021-44228,52.231.93.116,groupname,red,CVE-2021-44228_Log4J
h_49.234.81.169_CVE-2021-44228,49.234.81.169,groupname,red,CVE-2021-44228_Log4J
h_49.234.43.244_CVE-2021-44228,49.234.43.244,groupname,red,CVE-2021-44228_Log4J
h_49.7.224.217_CVE-2021-44228,49.7.224.217,groupname,red,CVE-2021-44228_Log4J
h_46.101.223.115_CVE-2021-44228,46.101.223.115,groupname,red,CVE-2021-44228_Log4J
h_45.248.77.142_CVE-2021-44228,45.248.77.142,groupname,red,CVE-2021-44228_Log4J
h_45.129.56.200_CVE-2021-44228,45.129.56.200,groupname,red,CVE-2021-44228_Log4J
h_45.64.75.134_CVE-2021-44228,45.64.75.134,groupname,red,CVE-2021-44228_Log4J
h_42.193.8.97_CVE-2021-44228,42.193.8.97,groupname,red,CVE-2021-44228_Log4J
h_42.192.69.45_CVE-2021-44228,42.192.69.45,groupname,red,CVE-2021-44228_Log4J
h_42.192.17.155_CVE-2021-44228,42.192.17.155,groupname,red,CVE-2021-44228_Log4J
h_42.98.70.127_CVE-2021-44228,42.98.70.127,groupname,red,CVE-2021-44228_Log4J
h_41.203.140.114_CVE-2021-44228,41.203.140.114,groupname,red,CVE-2021-44228_Log4J
h_39.102.236.51_CVE-2021-44228,39.102.236.51,groupname,red,CVE-2021-44228_Log4J
h_37.120.203.182_CVE-2021-44228,37.120.203.182,groupname,red,CVE-2021-44228_Log4J
