name,ipv4-address,groups,color,tags
h_64.227.67.110_CVE-2021-44228,64.227.67.110,groupname,red,CVE-2021-44228_Log4J
h_137.184.138.81_CVE-2021-44228,137.184.138.81,groupname,red,CVE-2021-44228_Log4J
h_103.232.136.12_CVE-2021-44228,103.232.136.12,groupname,red,CVE-2021-44228_Log4J
h_188.166.26.105_CVE-2021-44228,188.166.26.105,groupname,red,CVE-2021-44228_Log4J
h_180.101.141.150_CVE-2021-44228,180.101.141.150,groupname,red,CVE-2021-44228_Log4J
h_194.195.246.93_CVE-2021-44228,194.195.246.93,groupname,red,CVE-2021-44228_Log4J
h_79.143.186.150_CVE-2021-44228,79.143.186.150,groupname,red,CVE-2021-44228_Log4J
h_137.184.102.82_CVE-2021-44228,137.184.102.82,groupname,red,CVE-2021-44228_Log4J
h_104.200.138.39_CVE-2021-44228,104.200.138.39,groupname,red,CVE-2021-44228_Log4J
h_159.89.115.238_CVE-2021-44228,159.89.115.238,groupname,red,CVE-2021-44228_Log4J
h_147.182.154.100_CVE-2021-44228,147.182.154.100,groupname,red,CVE-2021-44228_Log4J
h_209.145.61.76_CVE-2021-44228,209.145.61.76,groupname,red,CVE-2021-44228_Log4J
h_178.62.23.146_CVE-2021-44228,178.62.23.146,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.141_CVE-2021-44228,139.177.178.141,groupname,red,CVE-2021-44228_Log4J
h_165.232.80.166_CVE-2021-44228,165.232.80.166,groupname,red,CVE-2021-44228_Log4J
h_167.99.221.217_CVE-2021-44228,167.99.221.217,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.185_CVE-2021-44228,159.89.154.185,groupname,red,CVE-2021-44228_Log4J
h_137.184.99.8_CVE-2021-44228,137.184.99.8,groupname,red,CVE-2021-44228_Log4J
h_194.195.241.242_CVE-2021-44228,194.195.241.242,groupname,red,CVE-2021-44228_Log4J
h_139.59.118.136_CVE-2021-44228,139.59.118.136,groupname,red,CVE-2021-44228_Log4J
h_165.22.201.45_CVE-2021-44228,165.22.201.45,groupname,red,CVE-2021-44228_Log4J
h_137.184.99.237_CVE-2021-44228,137.184.99.237,groupname,red,CVE-2021-44228_Log4J
h_139.177.178.144_CVE-2021-44228,139.177.178.144,groupname,red,CVE-2021-44228_Log4J
h_139.59.182.104_CVE-2021-44228,139.59.182.104,groupname,red,CVE-2021-44228_Log4J
h_167.99.186.227_CVE-2021-44228,167.99.186.227,groupname,red,CVE-2021-44228_Log4J
h_164.92.254.33_CVE-2021-44228,164.92.254.33,groupname,red,CVE-2021-44228_Log4J
h_3.144.250.191_CVE-2021-44228,3.144.250.191,groupname,red,CVE-2021-44228_Log4J
h_178.128.226.212_CVE-2021-44228,178.128.226.212,groupname,red,CVE-2021-44228_Log4J
h_68.183.36.254_CVE-2021-44228,68.183.36.254,groupname,red,CVE-2021-44228_Log4J
h_159.89.133.216_CVE-2021-44228,159.89.133.216,groupname,red,CVE-2021-44228_Log4J
h_194.195.246.98_CVE-2021-44228,194.195.246.98,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.25_CVE-2021-44228,185.220.101.25,groupname,red,CVE-2021-44228_Log4J
h_164.52.53.163_CVE-2021-44228,164.52.53.163,groupname,red,CVE-2021-44228_Log4J
